time,open,high,low,close,volume,date,ma9,ma18,ma27,ma36,ma45,ema,cci,rsi,mfi,macd,macdsignal,macdhist,tenkansen,kijunsen,senkou_a,senkou_a_f,senkou_b,senkou_b_f,chikouspan
1662480000000.0,19818.37,19855.0,19761.23,19780.25,3435.67746,2022-09-06 16:00:00,,,,,,,,,,,,,,,,,,,18910.98
1662480900000.0,19781.09,19783.45,19677.31,19735.27,4879.62701,2022-09-06 16:15:00,,,,,,,,,,,,,,,,,,,18909.14
1662481800000.0,19735.27,19778.0,19718.42,19773.64,3138.54221,2022-09-06 16:30:00,,,,,,,,,,,,,,,,,,,18870.07
1662482700000.0,19774.41,19794.52,19745.52,19747.25,2586.40374,2022-09-06 16:45:00,,,,,,,,,,,,,,,,,,,18884.23
1662483600000.0,19747.25,19756.33,19105.0,19175.76,13791.32545,2022-09-06 17:00:00,,,,,,,,,,,,,,,,,,,18857.0
1662484500000.0,19175.82,19273.46,19010.0,19073.0,9376.95791,2022-09-06 17:15:00,,,,,,,,,,,,,,,,,,,18790.61
1662485400000.0,19073.0,19189.71,19038.82,19113.98,5574.55186,2022-09-06 17:30:00,,,,,,,,,,,,,,,,,,,18844.57
1662486300000.0,19115.34,19130.59,18900.0,19102.32,7875.84329,2022-09-06 17:45:00,,,,,,,,,,,,,,,,,,,18744.27
1662487200000.0,19102.3,19135.48,19045.0,19098.47,4435.57192,2022-09-06 18:00:00,19399.993333333332,,,,,,,,,,,,19377.5,,,,,,18745.34
1662488100000.0,19098.47,19125.94,18980.0,19005.07,4808.078,2022-09-06 18:15:00,19313.862222222222,,,,,,,,,,,,19347.260000000002,,,,,,18833.11
1662489000000.0,19003.89,19065.89,18945.05,18986.94,5092.72371,2022-09-06 18:30:00,19230.714444444442,,,,,,,,,,,,19347.260000000002,,,,,,18840.86
1662489900000.0,18988.15,19003.86,18950.0,18958.66,4280.62512,2022-09-06 18:45:00,19140.16111111111,,,,,,,,,,,,19347.260000000002,,,,,,18829.54
1662490800000.0,18958.66,19019.61,18915.53,18968.72,4486.30582,2022-09-06 19:00:00,19053.65777777778,,,,,,,,,,,,19328.165,,,,,,18788.37
1662491700000.0,18968.72,19011.67,18913.27,18917.25,4165.35835,2022-09-06 19:15:00,19024.934444444443,,,,,,,,,,,,19086.73,,,,,,18787.65
1662492600000.0,18915.85,18919.63,18733.97,18856.45,6079.57651,2022-09-06 19:30:00,19000.873333333337,,,,,,,8.108867969019238,12.805247814995827,,,,18961.84,,,,,,18744.67
1662493500000.0,18857.92,18887.0,18813.0,18824.41,3840.05709,2022-09-06 19:45:00,18968.698888888888,,,,,,,7.862814575494724,17.764220270532235,,,,18934.725,,,,,,18638.36
1662494400000.0,18823.48,18908.83,18649.51,18784.03,6814.99633,2022-09-06 20:00:00,18933.333333333332,,,,,,,7.551801817335445,13.117848522266645,,,,18892.495,,,,,,18666.25
1662495300000.0,18782.58,18883.47,18770.9,18855.9,3347.08855,2022-09-06 20:15:00,18906.38111111111,19153.187222222223,,,,,,14.066979461523102,13.766429361727797,,,,18887.725,,,,,,18611.13
1662496200000.0,18854.18,18957.14,18838.21,18948.12,3290.67137,2022-09-06 20:30:00,18900.053333333333,19106.957777777778,,,,,,21.69288131237645,20.250707063656073,,,,18857.699999999997,,,,,,18653.39
1662497100000.0,18948.12,19011.22,18918.0,18982.41,4302.39574,2022-09-06 20:45:00,18899.550000000003,19065.13222222222,,,,,-43.039717041127766,24.3800478499326,28.071283897021782,,,,18834.559999999998,,,,,,18702.27
1662498000000.0,18983.59,19040.6,18958.57,18987.17,2835.65092,2022-09-06 21:00:00,18902.717777777772,19021.439444444444,,,,,-32.530196196723836,24.765998388585952,33.590916728806924,,,,18845.055,,,,,,18703.05
1662498900000.0,18987.17,19002.24,18963.11,18987.77,1067.03243,2022-09-06 21:15:00,18904.83444444444,18979.24611111111,,,,,-30.275720660480328,24.818086379899114,37.50247470624505,,,,18845.055,,,,,,18745.85
1662499800000.0,18986.81,19120.0,18968.5,18974.85,1523.69292,2022-09-06 21:30:00,18911.234444444446,18968.08444444444,,,,,-4.072318300286823,24.425920030544596,34.2130587934128,,,,18884.754999999997,,,,,,18702.49
1662500700000.0,18974.85,19004.88,18922.3,18978.6,1528.87057,2022-09-06 21:45:00,18924.806666666667,18962.84,,,,,-16.08414889422328,24.79735993440005,36.36132710163593,,,,18884.754999999997,,,,,,18697.76
